               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098534,            0.038231,                   0,           0.0057222,             0.75182,            0.032391,           0.0097459,            0.073143,            0.025926,                   0,            0.070732,            0.003252,            0.003252
                   1,            0.073788,            0.042997,                   0,             0.11867,             0.11679,            0.058677,            0.016386,            0.061288,             0.02545,                   0,            0.040667,           0.0065202,           0.0065202
                   2,            0.065642,            0.045399,                   0,             0.22058,             0.18978,              0.1618,            0.055511,            0.061611,            0.023874,                   0,            0.010535,           0.0097223,           0.0097223
                   3,               0.061,            0.041954,                   0,             0.30487,             0.16788,             0.17084,            0.053021,            0.060319,            0.025798,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.057607,            0.040486,                   0,             0.27929,             0.24088,             0.17143,            0.056116,             0.05617,            0.026461,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056511,            0.041163,                   0,             0.25751,             0.24088,             0.17751,            0.052056,             0.05387,            0.030435,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053741,            0.040131,                   0,             0.22605,             0.29197,             0.21515,            0.066364,            0.054318,            0.024732,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.051661,            0.040102,                   0,             0.24766,             0.20438,             0.17403,            0.051666,            0.055855,            0.025639,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.051725,            0.039645,                   0,             0.22838,             0.25547,             0.20438,            0.064545,            0.054343,            0.023716,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050507,            0.039004,                   0,             0.24776,             0.30657,              0.2196,             0.07264,            0.055394,            0.023259,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.050964,            0.038112,                   0,             0.25601,             0.31387,             0.19649,            0.063994,            0.054091,            0.023526,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.049075,            0.038679,                   0,             0.25942,             0.24088,             0.17408,            0.054435,            0.055087,            0.024823,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.049118,            0.039147,                   0,             0.23017,             0.27007,             0.17329,            0.048362,            0.056255,            0.025636,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.048686,            0.040358,                   0,             0.23234,             0.22628,                0.16,            0.055694,             0.05394,            0.023924,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.047618,            0.038066,                   0,             0.25671,             0.30657,             0.15738,            0.047223,            0.055473,            0.024293,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.046281,            0.038613,                   0,              0.3756,             0.25547,             0.23328,            0.071958,            0.054488,              0.0232,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.046172,            0.036046,                   0,             0.22769,             0.21898,             0.12158,            0.038486,            0.057581,            0.025592,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.044262,            0.035956,                   0,             0.23909,             0.17518,             0.09774,            0.031284,            0.058446,            0.027071,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.044621,            0.036164,                   0,             0.26065,             0.24088,             0.13359,            0.040857,            0.056027,            0.024852,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.043118,            0.037401,                   0,             0.29682,             0.29197,             0.17684,            0.053979,            0.056521,            0.024451,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.043986,            0.036161,                   0,             0.21279,             0.25547,             0.12815,            0.037601,            0.056245,            0.025194,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.044275,            0.036435,                   0,             0.24252,             0.27007,             0.15684,            0.042867,            0.056285,            0.025853,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.042017,            0.036272,                   0,             0.25657,             0.28467,             0.16425,            0.050541,            0.056601,            0.024993,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.041814,            0.035094,                   0,             0.25716,             0.32847,              0.1827,            0.062542,            0.055931,            0.024963,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.042165,            0.033854,                   0,             0.33988,             0.24088,              0.1621,            0.051492,            0.056463,            0.025951,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.041389,            0.033401,                   0,             0.21384,             0.18248,             0.10127,            0.033831,            0.057929,            0.026735,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.042228,            0.034579,                   0,              0.1805,             0.26277,            0.096214,            0.033251,            0.056009,            0.026861,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.041209,            0.033139,                   0,             0.17526,             0.29197,             0.12354,            0.032304,            0.058142,            0.028307,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.04039,            0.034043,                   0,             0.21843,             0.32117,             0.13744,            0.046177,            0.057449,            0.028575,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.040348,            0.034451,                   0,             0.20907,             0.24311,              0.1186,            0.035335,            0.059967,            0.026727,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.040297,            0.032236,                   0,              0.3081,             0.24088,             0.14246,            0.043993,            0.057792,            0.027096,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.03976,            0.031207,                   0,             0.27206,             0.20438,             0.14328,            0.049095,            0.058274,            0.026098,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.038645,            0.032169,                   0,             0.32822,             0.24088,             0.17648,             0.06067,            0.056136,            0.026329,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.038169,            0.032692,                   0,             0.19907,             0.26277,             0.11014,             0.03507,            0.059374,            0.028107,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.03809,            0.031539,                   0,             0.20166,             0.24818,             0.11465,            0.034044,            0.058416,            0.027102,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.037943,            0.031529,                   0,             0.21368,             0.30657,             0.15332,            0.046041,             0.05759,            0.027739,                   0,            0.006634,            0.006634,            0.006634
